Name,EVS ID,Histology,Do not code,Remarks,Alternate Name,Primary Site,Abbreviation,NSC number,Category,Sub-category
Desmethyl-misonidazole,,,YES,Radiosensitizer,Ro 59963;Ro-5-9963;Ro59963;SR 1530;SR-1530;SR1530,,DES-ME,261036,Ancillary Agent,
Desoxycortico-sterone Acetate,,,NO,Adrenocortical steroid.  Used as replacement therapy to treat adrenocortical insufficiency.,Cortate acetate;Decortin;Decost-erone;Decostrate#;Doca acetate#;Dorcostrin#;Percorten acetate#;Percotol;Primocort;Primocortan;Syncort,,DCA;DOCA;DOXO,9567,Hormones and hormonal mechanisms,Adrenocortical steroid.  Probably not cancer directed--verify with attending MD.
Desoxycorticosterone Pivalate,,,NO,Adrenocortical steroid.  Used as replacement therapy to treat adrenocortical insufficiency.,,,,95278,Hormones and hormonal mechanisms,Adrenocortical steroid.  Probably not cancer directed--verify with attending MD.
Detorubicin,,,NO,,,,DTR,,Chemotherapy,Anthracycline antibiotic
Detox,,,NO,,,,,,"Biologic therapy (BRM, immunotherapy)",
Devimistat,,,NO,"January 8, 2021 FDA has granted Fast Track designation to CPI-613 (devimistat) for the treatment of acute myeloid leukemia.

October 30, 2020: CPI-613 (devimistat) received Orphan Drug designation from FDA for the treatment of soft tissue sarcoma 
IMPORTANT NOTE: Per FDA and NCI, devistate  is a mixture of the enantiomers of a synthetic alpha-lipoic lipoic acid analogue with potential chemopreventive and antineoplastic activities. Although the exact mechanism of action is unknown, devimistat has been shown to inhibit metabolic and regulatory processes required for cell growth in solid tumors. Both enantiomers in the racemic mixture exhibit antineoplastic activity. This drug has not been classified as chemotherapeutic or immunotherapy.",CPI-613;Alpha-Lipoic Acid Analogue CPI-613,Soft tissue,,,Other therapy,
Dexamethasone,,,SEE_REMARKS,"NOTE* Dexamethosine may be coded as either an ancillary drug or hormone. Review chart to determine if given for supportive care or as hormonal therapy.

A long-acting corticosteroid (glucocorticoid).  In general, this drug is used more commonly for supportive care, and as an antiemetic than it is as hormone therapy.  25 times as potent as cortisol; used topically as an anti-inflammatory and administered orally in replacement therapy for adrenal insufficiency, as an anti-inflammatory and immunosuppressant in a wide variety of disorders, and as an antiemetic in cancer chemotherapy.   Dexamethasone and other corticosteroids may be used to control white cell proliferation in hematopoietic diseases and would be coded as hormone therapy for lymphoid leukemia, lymphoma and multiple myeloma.",Aeroseb-Dex;AK-Dex;AK-Trol;Baldex;Component of Deronil;Component of Dexacidin;Component of Maxitrol;Dalalone;Decaderm;Decadrol;Decadron Tablets;Decajet;Decameth;Decasone;Decaspray;Deenar;Dex-4;Dexacen;Dexacidin;Dexacort Phosphate;Dexameth;Dexasone;Dexasporin;Dexone;Dexsone;Dezone;Gammacorten;Hexadrol;Hexadrol Elixir;Hexadrol Tablets;Infectrol Sterile;Maxidex;Maxitrol;Miral;Mymethasone;Neo-Dexameth;Neodecadron;Neodexair;Ocu-Trol;Oradexon;PMS-Dexamethasone Sodium Phosphate;SK-Dexamethasone;Sofracort;Sofradex;Solurex;Spersadex;Sterile Dexamethasone Acetate;Tobradex;Turbinare Decaron Phosphate,,DECA;DM;DSM,345211,Ancillary Agent;Hormones and hormonal mechanisms,Glucocorticoid.  Probably not cancer directed--verify with attending MD.
Dexamethasone Acetate,,,SEE_REMARKS,"Adrenocortical steroid. In general, this drug is used more commonly for supportive care, and as an antiemetic than it is as hormone therapy.  An ester of dexamethasone, having actions similar to those of the base and used in replacement therapy in adrenal insufficiency and as an anti-inflammatory and immunosuppressant; administered by intra-arterial, intramuscular, intralesional, or soft-tissue injection. Dexamethasone and other corticosteroids may be used to suppress white cell proliferation in hematopoietic diseases and would be coded as hormone therapy for lymphoid leukemia, lymphoma and multiple myeloma.",Dalalone D.P.;Dalalone L.A.;Decadron-LA,,DXM,,Ancillary Agent;Hormones and hormonal mechanisms,Glucocorticoid.  Probably not cancer directed--verify with attending MD.
Dexamethasone Dipropionate,,,NO,"Adrenaocortical steroid.  In general, this drug is used more commonly for supportive care, and as an antiemetic than it is as hormone therapy.  An ester of dexamethasone, having actions and uses similar to those of the base; administered by intra-articular, soft tissue, intravenous, or intramuscular injection, by inhalation, or applied topically to the skin and conjunctiva.  Dexamethasone and other corticosteroids may be used to control white cell proliferation in hematopoietic diseases and would be coded as hormone therapy for lymphoid leukemia, lymphoma and multiple myeloma.",ST 12,,,,Ancillary Agent;Hormones and hormonal mechanisms,Glucocorticoid.  Probably not cancer directed--verify with attending MD.
Dexamethasone Sodium Phosphate,,,SEE_REMARKS,"Glucocorticoid. In general, this drug is used more commonly for supportive care, and as an antiemetic than it is as hormone therapy.  An ester of dexamethasone, having actions and uses similar to those of the base; administered by intra-articular, soft tissue, intravenous, or intramuscular injection, by inhalation, or applied topically to the skin and conjunctiva.   Dexamethasone and other corticosteroids may be used to control white cell proliferation in hematopoietic diseases and would be coded as hormone therapy for lymphoid leukemia, lymphoma and multiple myeloma.",Component of NeoDecadron;Dalalone;Hexadrol,,,,Ancillary Agent;Hormones and hormonal mechanisms,Glucocorticoid.  Probably not cancer directed--verify with attending MD.
Dexormaplatin,,,NO,,938;U 78938;U-78;U78938,,,,Chemotherapy,Miscellaneous agent
Dexrazoxane,,,YES,"A cardioprotective agent, may have synergistic activity when given with other antineoplastic drugs. FDA approved for reducing cardiomyopathy related doxorubicin.  Little if any antitumor effect in multiple studies of various cancers.",ADR-529;ICRF-187;Zinecard,,,169780,Ancillary Agent,Cardioprotectant
Dextran Sulfate,,,YES,,aerosolized);Dextran;Dextran sulfate (inhaled;hydrogen sulfate;Uendex,,,620255,AIDS drug,
Dianhydrodulcitol,,,NO,Miscellaneous agent,Dianhydrogalactitol;Galactitol,,DAG,132313,Chemotherapy,Miscellaneous agent
Dianoxide Furoate,,,YES,Antibiotic; Rx of amebiasis,,,,,AIDS drug,
Diaziquone,,,NO,"Phase III Quinone derivative; Intravenous diaziquone has produced objective responses in some patients with brain tumors and head and neck cancer; high response rates have been seen with continuous infusions in acute myelogenous (nonlymphocytic) leukemia, although hematologic toxicity is severe. The drug has been effective intrathecally in meningeal malignancies. However, the overall role of diaziquone in cancer chemo is limited. Ilex Oncology.",Aziridinylbenzoquinone;CI 904;CI-904;CI904,Bladder;brain;skin cancer,AZQ,182986,Chemotherapy,Alkylating agent
Dibromodulcitol,,,NO,Miscellaneous agent,Dibromdulcit;Elobromol;Mitolac;Mitolactol,,DBD,104800,Chemotherapy,Miscellaneous agent
Dibromomannitol,,,NO,Alkylating agent; Not found in Drugdex drug evaluation.,Dibromannit;Mielobromol;Mitobron-itol;Myebrol;Myelobromol;R-54;R54;WR 220057;WR-220057;WR220057,,DBM,094100;94100,Chemotherapy,Alkylating agent
Dichloroallyl  lawsone,,,NO,,dichlorallyl-;Dichloroallyl lawsone;Dichloroallyl lawsone (DCL);Dichloroallyllawsone;Dichlorolapachol;Dichlorolawsone;Lawsone,,DCL,126771,Chemotherapy,Antimetabolite
Dichloromethotrexate,,,NO,,DichloroMethotrexate,,DCM;DCMTX,29630,Chemotherapy,Antimetabolite;enzyme inhibitor
Didanosine,,,NO,A purine nucleoside analogue with antiviral activity.,BMY 40900;BMY-40900;BMY40900;DDI;Dideoxyinosine;Videx,,ddl,612049,AIDS drug,Antiviral
Didemnin B,,,NO,"Biologically active peptides extracted from a marine sea squirt of the genus Trididemnum, investigated as an antineoplastic. Not found in Drugdex drug evaluation.",,,,325319,Chemotherapy,Antineoplastic with high toxicity
Dideoxyadenosine,,,YES,Not found in Drugdex drug evaluation.,ddAdo,,ddA,98700,AIDS drug,
Dideoxycytidine,,,YES,,HIVID;Ro 24-2027;Ro 242027;Ro242027;Zalcitabine,,ddC,606170,AIDS drug,
Dienestrol,,,NO,"A synthetic nonsteroidal estrogen structurally related to diethylstilbestrol.  A synthetic estrogen, administered orally in the management of menopausal symptoms, in the treatment of functional uterine bleeding, as a postpartum antigalactagogue, for palliative therapy in certain female breast cancers, and in the management of prostatic carcinoma.",Component of Estan#;Dehydrostilbestrol;Dienoestrol;Ortho Dienestrol;Synestrol#,Breast;prostate cancers,DV,59809,Hormones and hormonal mechanisms,Estrogen
Diethyldithiocarbamate,,,YES,An immunomodulating drug that has been investigated in HIV infection. It is also a chelator that has been used in the destruction of cisplatin wastes and has been suggested for use in nickel carbonyl poisoning. Not found in Drugdex drug evaluation.,Cuprol;Dithiocarb;Ditiocarb Sodium;Imuthiol;Thiocarb,,DDC;DDTC;DEDC;DTC,38583,Ancillary Agent,
Diethylstilbestrol,,,NO,"A nonsteroidal, synthetic stilbene derivative with estrogenic activity. FDA approved for advanced prostate carcinoma.",Acnestrol;Honvol;Stilbestrol#,Various cancers including prostate cancer,DES,3070,Hormones and hormonal mechanisms,Estrogen
Diethylstilbestrol Diphosphate,,,NO,Estrogen,Fosfestrol;Stilphostrol#,,,10481,Hormones and hormonal mechanisms,Estrogen
Diethylstilbestrol Dipropionate,,,NO,Estrogen,Dibestil#,,,,Hormones and hormonal mechanisms,Estrogen
Diethylstilbestrol NCO,,,NO,Estrogen,Bio-Des;Comestrol;Cyren A;Di-Estryl;Domestrol;Estilbin;Estrobene;Etrosyn;Fonatol;Graf-estrol;Hi-Bestrol;Nicroest;Nilestrol;Oestrogenine;Serral;Sexocretin;Sibol;Stil-betin#;Stil-Rol;Stilbestrol;Stilboestroform;Stilkap;Synth-oestrin;Syntofolin;Vagestrol#,,DEB;DES,3070,Hormones and hormonal mechanisms,Estrogen
Diflucortolone,,,NO,A potent fluorinated topical corticosteroid; glucocorticoid.  A synthetic corticosteroid used topically for the relief of inflammation and pruritus in corticosteroid-responsive dermatoses.,Nerisone,,,,Hormones and hormonal mechanisms,Glucocorticoid.  Probably not cancer directed--verify with attending MD.
Diflucortolone Pivalate,,,NO,Glucocorticoid.  A synthetic corticosteroid used topically for the relief of inflammation and pruritus in corticosteroid-responsive dermatoses.,SH 968;SH-968;SH968,,,,Hormones and hormonal mechanisms,Glucocorticoid.  Probably not cancer directed--verify with attending MD.
Diglycolaldehyde,,,NO,,Inosine dialdehyde;Wy 5321;Wy-5321;Wy5321,,IdASTGDR;INOX,118994,Chemotherapy,Antimetabolite
Dihydroazacytidine,,,NO,,Dihydro-5-azacytidine;H5AC HCl,,5-ACH;DHAC,264880,Chemotherapy,Antimetabolite
Dihydrolenperone,,,NO,,Dihydro-lenperone,,,343513,Chemotherapy,Unclassified antineoplastic
Diltiazim Hydrochloride,,,YES,"Calcium channel blocker, vasodilator. Effective in the treatment of angina pectoris due to coronary artery spasm and chronic stable angina pectoris, and to treat hypertension; diltiazem may be able to prevent coronary artery restenosis in heart transplant patients; diltiazem can decrease the frequency of PVCs associated with hypertensive left ventricular hypertrophy.",Apo-Diltiaz;Cardizem;Cartia;Dilacor;Novo-Diltazem;Nu-Diltiaz;Tiazac,,,,Ancillary Agent,
Dimepranol Acedoben,,,YES,Immunomodulator; Component of Isoprinosine,,,,,Ancillary Agent,
Dimericine,,,YES,Phase III Repairs DNA damage in skin cells. AGI Dermatics.,,Skin cancer,,,Ancillary Agent,
Dimethyl sulfoxide,,,YES,,Demasorb#;Demavet;Demeso;Demsodrox;Dermasorb;Dimexide;DMS-70;DMS-90;Dolicur;Dolisur;Domoso;Dromisol;Durasorb;Gamasol 90;Hyadur;Infiltrin Methyl sulfoxide;Kemsol;Methyl sulphoxide;Rimso;Somipront;SQ 9453;SQ-9453;Sulfinylbismethane;Sulphinylbismethane;Syntexan,,DMSO,763;000763,Differentiation inducing agent,
Dimethylbusulfan,,,NO,,Dimethylmyleran,,,,Chemotherapy,Alkylating agent
Dinitrochlorobenzene,,,NO,Immunostimulant for AIDS patients.,2;4-Dinitroclorobenceno,,DNCB,,"Biologic therapy (BRM, immunotherapy)",
Dinitrofluorobenzene,,,NO,,,,DNFB,,"Biologic therapy (BRM, immunotherapy)",
Diphenhydramine Hydrochloride,,,YES,"Antihistamine, ethanolamine. One of the most widely used parenteral antihistamines for the treatment of anaphylaxis and severe allergic reactions.",Allerdryl;Allermax;Allernix;Anti-Itch;Banaril;Beldin;Belix;Benadryl;Benahist;Benaphen;Benoject;Caladryl;Component of Benylin;Compoz;Dermamycin;Dibenil;Diphen;Diphenacen;Diphenadryl;Diphenhist;Diphenylin;Dramaject;Fenylhist;Gen-D-Phen;Genahist;Hydramine;Hyrexin;Insomnal;Kendiphen;Lensen;Miles Nervine;Niramine;Nordryl;Nytol;Phenamin;PMS-Diphenhydramine;Scheinpharm Diphenhydramine;Sleep-ettes-D;Sleep-eze;Sleepwell 2-Nite;Sominex;Twilite;Unisom,,,,Ancillary Agent,
Diphenidol Hydrochloride,,,YES,"Diphenidol may be used to treat nausea and vomiting or vertigo. Because of its toxicity and lack of therapeutic advantage over other agents, diphenidol should not be carried on the hospital formulary. Anti-emetic",Difenidol;SKF 478;SKF-478;SKF478;Vontrol,,,,Ancillary Agent,
Dipyridamole,,,YES,"A phosphodiesterase inhibitor which inhibits platelet aggregation. Although widely used, there is little evidence of the effectiveness of Dipyridamole and the emerging consensus does not support its use as an antithrombotic drug.",Apo-Dipyridamole;Dipridacot;Novo-Dipiradol;Persantine;Ra 8;SK-Dipyridamol,,,515776,Ancillary Agent,
Disulfiram,,,YES,A thiuram derivative that interferes with aldehyde dehydrogenase.,Antabuse,,,,AIDS drug,
Docetaxel,,,NO,"FDA approved for use on breast, prostate, stomach and NSCLC. Aventis Pharmaceuticals.",LIT-976;RP-56976;Taxotere,Breast;gastric;head & neck;non-small cell lung;ovarian;prostate cancer,,628503,Chemotherapy,Taxane
Dolasetron Mesylate,,,YES,Antiemetic. Serotonin antagonist.,Anzemet;Hydrodolasetron;MDL-73147EF,,,,Ancillary Agent,
Dolastatin 10,,,NO,"Phase I/II (breast, kidney, leukemia) Phase II pancreatic Antimitotic pentapeptide. NCI.",,Breast;kidney;leukemia;pancreatic cancer,,376128,Chemotherapy,Antimototic agent
Domperidone,,,YES,A peripheral dopamine antagonist. Domperidone is used as an antiemetic and to treat postprandial dyspepsia.,Dom-Domperidone;Motilum;R-33812,,,,Ancillary Agent,
Doxercalciferol,,,NO,Phase II Vitamin D. Bone Care International.,Hectorol,Prostate cancer,,,Hormones and hormonal mechanisms,Parathyroid hormone antagonist
Doxorubicin,,,NO,"Phase II liver, pancreatic, Phase III MM, prostate Doxorubicin hydrochloride encapsulated in liposomes formulated with methoxypolyethylene glycol (MPEG). FDA approved use on bladder cancer, breast cancer, gastric cancer, leukemia, small cell lung cancer, lymphoma, neuroblastoma, ovarian cancer, sarcoma, thyroid cancer, Wilm's tumor. ALZA Corp, NeoPharm, Pharmacia, Schering-Plough, Sequus. Antitumor antibiotic",14-hydroxy-daunomycin;Adri-blastina (Italy);Adriamycin;Adriamycin-TM;Caelyx;FT-106;Hydroxydaunomycin;Myocet;Pegylated Liposomal Doxorubicin Hcl;Rubex;S-DOX;Stealth(R) Liposomal Doxorubicin,Bladder;breast;liver;multiple myeloma;ovarian;pancreatic;prostate cancer,ADM;ADR;ADRI,123127,Chemotherapy,Antitumor antibiotic
"Doxorubicin, liposome-encapsulated",,,NO,"DOXIL Injection received FDA approval February 4, 2013 for the treatment of ovarian cancer in patients whose disease has progressed or recurred after platinum-based chemotherapy and also for AIDS-related Kaposi's sarcoma after failure of prior systemic chemotherapy or intolerance to such therapy.
Feb. 2015: FDA granted Orphan Drug Designation to liposomal doxorubicin for the treatment of Ewing's sarcoma, a rare cancer that develops in or around children's bones.",Doxil;Doxil injection;Evacet;LipoDox;Liposomal Doxorubicin;MCC-465;Probenecid;TLC-Dox 99;Urocidin,,,"712227, 620212",Chemotherapy,Antitumor antibiotic
Doxorubicin-DNA complex,,,NO,,,,,,Chemotherapy,Antitumor antibiotic
Dromostanolone Propionate,,,NO,"An androgenic, anabolic steroid, used as an antineoplastic agent in the palliative treatment of advanced metastatic, inoperable breast cancer in certain postmenopausal women; administered intramuscularly.",32379;Compound 32379;Drolban#;Drostanolone propionate;Emdisterone;Masterid;Masteril;Masterone;Nedrotestron propionate;Permastril,Breast cancer,NDHT,12198,Hormones and hormonal mechanisms,Anabolic steroid
Droperidol,,,YES,"Droperidol is useful to produce tranquilization and to reduce the nausea and vomiting in surgical and diagnostic procedures. It is also used for premedication, induction, and as an adjunct in the maintenance of general and regional anesthesia.",Component of Innovar;Inapsine;MCN-JR-4749;R-4749,,,,Ancillary Agent,
Duazomycin,,,NO,Teratogenic,A 10270A;Diazomycin A,,,51097,Chemotherapy,Teratogenic--not in use
Duborimycin,,,NO,,,,,,Chemotherapy,Anthracycline antibiotic
Durvalumab,,"Urothelial carcinoma, NSCLC",NO,"May 1, 2017: FDA granted accelerated approval to durvalumab for the treatment of patients with locally advanced or metastatic urothelial carcinoma who have disease progression during or following platinum-containing chemotherapy or who have disease progression within 12 months of neoadjuvant or adjuvant treatment with platinum-containing chemotherapy.

Feb 16, 2018 The FDA has approved Imfinzi (durvalumab) for the treatment of patients with stage III non-small cell lung cancer (NSCLC) whose tumors are not able to be surgically removed (unresectable) and whose cancer has not progressed after treatment with chemotherapy and radiation (chemoradiation).

March 30, 2020 The FDA approved durvalumab (IMFINZI) in combination with etoposide and either carboplatin or cisplatin as first-line treatment of patients with extensive-stage small cell lung cancer (ES-SCLC).",IMFINZI,Bladder;Lung,,,"Biologic therapy (BRM, immunotherapy)",
Duvelisib,,CLL,NO,"September 24, 2018: FDA granted regular approval to duvelisib (COPIKTRA) for adult patients with relapsed or refractory chronic lymphocytic leukemia (CLL) or small lymphocytic lymphoma (SLL) after at least two prior therapies. In addition, duvelisib received accelerated approval for adult patients with relapsed or refractory follicular lymphoma (FL) after at least two prior systemic therapies.",Copiktra,,,,Chemotherapy,Small moleculr inhibitor
Dydrogesterone,,,NO,"Progestin.  Used mainly in the diagnosis and treatment of primary amenorrhea and severe dysmenorrhea, and in combination with estrogen in dysfunctional menorrhagia.   Not found in Drugdex drug evaluation.",Dehydroprogesterone;Didrogesteron;Diphaston;Dufaston;Duphaston;Duvaron;Gestatron;Hydrogesterone;Isopregnenone;Prodel;Retrone;Terolut,,,92336;092336,Hormones and hormonal mechanisms,Progestin.  Probably not cancer directed--verify with attending MD.
E7070,,,NO,"Phase II colorectal, head & neck Phase II NSCLC Disulphonamide. Eisai.",,Colorectal cancer;head & neck;lung cancer,,,Chemotherapy,Antibiotic
E7389,,,NO,"Phase II many indications 2007 Eisai, NCI.",E 7389;E-7389,advanced solit tumors;Breast;H&N;prostate,,707389,Chemotherapy,Vinca alkaloid
"EC-2101 Therapeutic, Multi-epitope Vaccine",,,NO,Phase I/II Epimmune.,,Colon;lung cancer,,,"Biologic therapy (BRM, immunotherapy)",
EF-5,,,YES,Phase I Hypoxia detector. Etanidazole derivative. NCI.,EF5;Etanidazole-F5,Breast;Cervical;Lung;Prostate cancer,,684681,Ancillary Agent,Used to detect oxygen levels in tumors
EG009,,,NO,Phase II Gene therapy. Ark Therapeutics.,EG 009;EG-009,Brain cancer,,,"Biologic therapy (BRM, immunotherapy)",Immunotherapy active
EKB-569,,,NO,Phase I Epidermal growth factor receptor inhibitor. Wyeth Pharmaceuticals.,EKB 569;EKB569,Other cancer,,729742,Chemotherapy,Cytostatic agent--EGFR inhibitor
EMD121974,,,NO,"Phase I/II Anti-angiogenic. Merck KGaA, NCI.",Cilengitide;EMD 121974;EMD-121974,Brain;other cancer;skin,,707544,Chemotherapy,Cytostatic agent--antiangiogenesis agent
EMLA Cream (lidocaine 2.5% and prilocaine 2.5%),,,YES,Local anesthetics. Not found in Drugdex drug evaluation.,,,,,Ancillary Agent,
ENMD 0995,,,NO,Phase I Celgene.,,Lymphoma;Multiple myeloma,,,Chemotherapy,Cytostatic agent--antiangiogenesis agent
ERA 923,,,NO,"Phase II Tissue selective estrogen receptor modulator-SERM. Ligand Pharm, Wyeth Pharm.",,Breast cancer,,,Hormones and hormonal mechanisms,SERM
ESO-1:157-165 Peptide Vaccine,,,NO,Phase II NCI.,,Other cancer,,717388,"Biologic therapy (BRM, immunotherapy)",Immunotherapy active
Echinomycin,,,NO,,Echinomycin;Echinomycin A;Levomycin;Quinomycin A (9CI);S-426-S (Lepetit),,,526417,Chemotherapy,Antitumor antibiotic
Econazole (Econazole Nitrate),,,YES,A topical imidazole antimycotic (antifungal) drug. The place in therapy of Econazole cannot be clearly stated at this time.,Ecostatin;Pevaryl;R 14827;R-14827;R14827;Spectazol;SQ 13050;SQ-13050;SQ13050,,,,AIDS drug,
Edatrexate,,,NO,"In clinical trials, EDATREXATE alone has been active in non-small cell lung cancer, advanced breast cancer, head and neck cancer, soft tissue sarcoma (malignant fibrous histiocytoma), and non-Hodgkin's lymphoma (diffuse histiocytic lymphoma). ",10-EdAM;CG 30694;CGP-30694;CGP30693;EDAM-10;EDAM10,,,626715,Chemotherapy,Antimetabolite
Edobacomab,,,NO,An immune globulin directed against gram-negative bacterial endotoxins.,XMMEN-OE5,,E5,,Chemotherapy,Immunotoxin conjugated with monoclonal antibody
Edotecarin,,,NO,Phase I Pfizer.,,Leukemia;other cancer,,,Chemotherapy,Topoisomerase inhibitor
Edrecolomab,,,NO,"Phase III
In clinical trials as antineoplastic agent.  Also used to detect colon cancer cells.  DETERMINE HOW DRUG IS USED AND CODE CATEGORY ACCORDINGLY.  A murine monoclonal antibody obtained from a fusion of BALB/c mouse cells and targeted at human colorectal tumor cells.",Mab 17-1A;Monoclonal antibody 17-1A;Monoclonal antibody CO17-1A;Panorex,Colorectal cancer,,377963,"Biologic therapy (BRM, immunotherapy)",Targeted therapy
Eflornithine,,,NO,"Phase III A specific and irreversible inhibitor of the enzyme ornithine decarboxylase.Rx of Pneumocystis pneumonia carinii. ILEX Oncology.  Vaniqa inhibits facial hair growth.  Not a promising antitumor agent by itself, but may be effective as an adjunctive cytoinhibitory agent in select antineoplastic treatment regimens.",Alpha-DFMO HCl;alpha-Difluoromethylornithine;Alpha-Difluoromethylornithine Hydrochloride;DFMO;Difluoromethylornithine;Eflornithine Hcl;eflornithine hydrochloride;Eflornithine Monohydrochloride;MDL-71782;MDL-71782A;Monohydrate;Ornidyl;RMI 71782;Vaniqa,Bladder;brain (glioblastoma);childhood leukemia;CML;skin cancer,DFMO (HCl),337250,Chemotherapy,Miscellaneous agent
Egf Cancer Vaccine,,,NO,Phase II NSCLC YM Bioscience.,,Lung cancer,,,"Biologic therapy (BRM, immunotherapy)",Immunotherapy active
Eligard,,,NO,"December 2016 Update: Lupron as ovarian suppressor in pre-menopausal breast cancer has been approved by the FDA per NCI. Beginning with cases diagnosed 1/1/2017 forward, code as hormone therapy. 

Lupron is a gonadotropin-releasing hormone analogue. FDA approved its use on prostate cancer and should be coded as hormone therapy.

FOR BREAST CASES DIAGNOSED 1/1/2017 FORWARD: Code as hormone treatment",Lupron;Leuprolide Acetate,Prostate cancer;Breast,,,Hormones and hormonal mechanisms,LHRH
Elinafide,,,NO,Phase I DNA binding compound. ILEX Oncology.,LU 79553;LU-79553;LU79553,Other cancer,,,Chemotherapy,Cytostatic agent--topoisomerase inhibitor
Elliott's B Solution,,,YES,FDA approved diluent for intrathecal therapy for leukemia and lymphoma.  Active Ingredient: Sodium chloride 730 mg; sodium bicarbonate 190 mg; glucose monohydrate 80 mg; magnesium sulfate heptahydrate 30 mg; potassium chloride 30 mg; calcium chloride dihydrate 20 mg; dibasic sodium phosphate heptahydrate 20 mg; phenolsulphonphthalein 10 micrograms; water to 100 mL,,,,614386,Ancillary Agent,Artificial cerebrospinal fluid
Elotuzumab,,Multiple myeloma,NO,"November 30, 2015: FDA granted approval for Empliciti (elotuzumumab) in combination with two other therapies to treat patients with multiple myeloma who have received one to three prior medications.  It is approved in combination with other FDA-approved treatment for multiple myeloma called Revlimid (lenalidomide) and dexamethasone. ",Empliciti;PDL063,,,,"Biologic therapy (BRM, immunotherapy)",monoclonal antibody
Elsamitucin,,,NO,"Phase II NHL A heterocyclic antitumor antibiotic related to chartreusin. Spectrum Pharmaceuticals, NeoTherapeutics.",BBM-2478A;BBM2478A;BMY 28090;BMY-28090;BMY28090,Lymphoma,,,Chemotherapy,Antitumor antibiotic
Eltrombopag,,,YES,Stimulates platelet (thrombocyte) recovery.  Glaxo Smith Kline.,Promacta;SB 497115;SB-497115;SB497115,,,,Ancillary Agent,
Emetine (Hydrochloride),,,YES,A direct-acting amebicide.,Emetin;Emetine Dihydrochloride;Emetine Hydrochloride;Emetine monohydrochloride;Heptahydrate;Homofolic acid;Ipecine Hydrochloride,,EMET,33669,AIDS drug,
Emofolin,,,NO,,Emfolin sodium,,MeTHHF,139490,Chemotherapy,Folate antagonist
Encorafenib,,Melanoma,NO,"April 8, 2020 Food and Drug Administration approved encorafenib (BRAFTOVI) in combination with cetuximab for the treatment of adult patients with metastatic colorectal cancer (CRC) with a BRAF V600E mutation, detected by an FDA-approved test, after prior therapy. 

June 27, 2018: FDA approved encorafenib and binimetinib (BRAFTOVI and MEKTOVI) in  combination for patients with unresectable or metastatic melanoma with a BRAF V600E or V600K mutation, as detected by an FDA-approved test.",BRAFTOVI;LGX818,Colorectal,,,Chemotherapy,RAF Kinase Inhibitor
Endorphin,,,YES,Pain control (Analgesic). Not found in Drugdex drug evaluation.,,,,,Ancillary Agent,
Endostatin,,,NO,"Phase I colorectal Phase II melanoma, other Anti-angiogenic. EntreMed.",,Colorectal;other cancer;skin,,704805,"Biologic therapy (BRM, immunotherapy)",Cytostatic agent--antiangiogenesis agent
Enfortumab vedotin,,,NO,"March 30, 2018: FDA has granted Breakthrough Therapy Designation to enfortumab vedotin, an antibody-drug conjugate, for patients with locally advanced or metastatic urothelial cancer who were previously treated with checkpoint inhibitors.",,Bladder,,,"Biologic therapy (BRM, immunotherapy)",Antibody-drug conjugate
Enhanzyn,,,NO,Phase III Vaccine. Corixa.,,Breast cancer,,,"Biologic therapy (BRM, immunotherapy)",Vaccine
Eniluracil,,,NO,"Phase III Dihydropyrimidine dehydrogenase (DPD) inhibitor. Chemotoxic agent enhancer. It has been investigated as an adjunct to fluorouracil therapy in the treatment of colorectal, breast, and pancreatic cancer. GlaxoSmithKline.",5-Ethynyluracil;5-EU;776C85;GW-776C85,Breast cancer,,687296,Chemotherapy,Antimetabolite
Enlimomab is,,,NO,An anti-ICAM-1 (intercellular adhesion molecule-1) murine monoclonal antibody.NO indications for cancer,Anti-ICAM-1 monoclonal antibody;BI-RR-0001;BIRR 0001;BIRR1;Murine anti-CD54 monoclonal antibody;Murine anti-ICAM-1 monoclonal antibody;R6 5 D6;R6.5;RR1,colon,,,"Biologic therapy (BRM, immunotherapy)",monocolonalNo indications for cancer
Enpromate,,,NO,Lilly,59156;empromate,,,112682,Chemotherapy,
Enzalutamide,,,NO,"December 16, 2019 FDA approved enzalutamide (XTANDI) for patients with metastatic castration-sensitive prostate cancer (mCSPC).

MDV3100 received FDA approval to treat prostate cancer on August 31, 2012. It is an androgen receptor antagonist drug developed for the treatment of castration-resistant prostate cancer.",MDV3100;Xtandi,Prostate,,,Hormones and hormonal mechanisms,Androgen receptor
Enzastaurin,,,NO,Phase II prostate 2007 Protein kinase C inhibitor and angiogenesis inhibitor. Lilly.,Enzastaurin Hcl;Enzastaurin hydrochloride;LY317615,Brain;lymphoma;prostate,,,Chemotherapy,Antiangiogenic agent
Epipropidine,,,NO,,Eponate;Epoxypropidin;LY 28002,,,56308,Chemotherapy,
Epirubicin,,,NO,FDA approved breast carcinoma adjuvant therapy.,4'-Epiadriamycin Hydrochloride;4'-Epidoxorubicin;4-EA;Ellence;Epidoxorubicin;Epidoxorubicin Hydrochloride;Epirubicin Hydrochloride;IMI-28;Pharmorubicin;Pidorubicin Hydrochloride,Breast cancer;Metastatic breast cancer;Gastric cancer,EPI;epi-ADR,256942,Chemotherapy,Anthracycline;Antitumor antibiotic
